"C:\Users\enric\OneDrive\Área de Trabalho\Python\venv\Scripts\python.exe" "C:/Users/enric/OneDrive/Área de Trabalho/Python/Wordle.py"
fiber 4
fibre 4
ficus 3
field 4
fiend 3
fiery 5
fifth 4
fifty 4
fight 4
filer 3
filet 2
filly 4
filmy 3
filth 2
final 4
finch 4
finer 3
first 3
fishy 3
fixer 5
fizzy 4
fjord 4
flack 4
flail 4
flair 3
flake 4
flaky 4
flame 4
flank 4
flare 4
flash 3
flask 3
fleck 4
fleet 2
flesh 3
flick 3
flier 4
fling 3
flint 3
flirt 3
float 3
flock 4
flood 4
floor 4
flora 3
floss 3
flour 3
flout 3
flown 4
fluff 4
fluid 3
fluke 4
flume 3
flung 3
flunk 4
flush 3
flute 3
flyer 4
foamy 4
focal 4
focus 4
foggy 4
foist 4
folio 3
folly 4
foray 4
force 4
forge 3
forgo 4
forte 3
forth 4
forty 3
forum 3
found 5
foyer 6
frail 4
frame 4
frank 4
fraud 4
freak 4
freed 4
freer 5
fresh 4
friar 4
fried 4
frill 4
frisk 4
fritz 4
frock 3
frond 4
front 3
frost 3
froth 4
frown 4
froze 4
fruit 3
fudge 4
fugue 4
fully 4
fungi 4
funky 4
funny 4
furor 3
furry 3
fussy 4
fuzzy 5
gaffe 4
gaily 4
gamer 3
gamma 3
gamut 3
gassy 3
gaudy 4
gauge 3
gaunt 3
gauze 4
gavel 4
gawky 4
gayer 3
gayly 3
gazer 3
gecko 3
geeky 4
geese 4
genie 4
genre 3
ghost 3
ghoul 3
giant 4
giddy 4
gipsy 3
girly 4
girth 4
given 3
giver 4
glade 3
gland 4
glare 2
glass 3
glaze 4
gleam 3
glean 4
glide 3
glint 3
gloat 3
globe 3
gloom 4
glory 3
gloss 3
glove 4
glyph 4
gnash 3
gnome 3
godly 3
going 4
golem 3
golly 4
gonad 4
goner 3
goody 5
gooey 4
goofy 4
goose 4
gorge 4
gouge 4
gourd 3
grace 4
grade 4
graft 3
grail 4
grain 4
grand 4
grant 4
grape 5
graph 4
grasp 3
grass 3
grate 2
grave 4
gravy 4
graze 4
great 3
greed 4
green 3
greet 3
grief 4
grill 4
grime 4
grimy 3
grind 4
gripe 4
groan 3
groin 4
groom 4
grope 4
gross 4
group 4
grout 3
grove 5
growl 3
grown 5
gruel 4
gruff 4
grunt 3
guard 4
guava 3
guess 3
guest 3
guide 4
guild 4
guile 2
guilt 3
guise 4
gulch 3
gully 4
gumbo 3
gummy 4
guppy 4
gusto 3
gusty 3
gypsy 4
habit 3
hairy 4
halve 2
handy 4
happy 4
hardy 4
harem 3
harpy 4
harry 4
harsh 3
haste 3
hasty 3
hatch 4
hater 4
haunt 3
haute 3
haven 3
havoc 3
hazel 4
heady 3
heard 3
heart 3
heath 4
heave 3
heavy 4
hedge 4
hefty 4
heist 3
helix 3
hello 3
hence 4
heron 3
hilly 4
hinge 4
hippo 4
hippy 4
hitch 4
hoard 4
hobby 4
hoist 4
holly 4
homer 4
honey 5
honor 4
horde 3
horny 3
horse 3
hotel 2
hotly 3
hound 4
house 3
hovel 4
hover 5
howdy 4
human 3
humid 4
humor 4
humph 4
humus 3
hunch 4
hunky 4
hurry 4
husky 3
hussy 4
hutch 4
hydro 4
hyena 4
hymen 3
hyper 5
icily 4
icing 3
ideal 4
idiom 3
idiot 3
idler 3
idyll 4
igloo 3
iliac 3
image 4
imbue 4
impel 3
imply 4
inane 4
inbox 4
incur 3
index 3
inept 4
inert 3
infer 3
ingot 3
inlay 3
inlet 3
inner 4
input 3
inter 4
intro 3
ionic 3
irate 4
irony 4
islet 2
issue 4
itchy 4
ivory 4
jaunt 4
jazzy 4
jelly 4
jerky 4
jetty 4
jewel 4
jiffy 4
joint 3
joist 4
joker 4
jolly 4
joust 4
judge 5
juice 4
juicy 4
jumbo 4
jumpy 4
junta 4
junto 3
juror 4
kappa 4
karma 3
kayak 3
kebab 3
khaki 3
kinky 4
kiosk 4
kitty 4
knack 3
knave 4
knead 4
kneed 4
kneel 4
knelt 3
knife 4
knock 3
knoll 4
known 4
